id,longitude,latitude,precision,funding,donor,status,type_of_assistance,amp_sector
1,34.06716,-12.3604,2,11412892.61,African Development Bank (AfDB),Ongoing,Loan,Agriculture
2,34.05,-13.316667,1,7503725.99,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
3,34.1,-12.9,1,7503725.99,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
4,34.053218,-11.65304,3,7503725.99,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
5,34.082977,-12.804172,3,7503725.99,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
6,34.3,-13.133333,5,7503725.99,Norwegian Agency for Development Cooperation (NORAD),Closed,Grant,Agriculture
7,33.68407,-14.019624,3,3000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
8,33.4166667,-13,3,3000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
9,33.607776,-11.854277,3,3000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
10,35.1666667,-16.75,3,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
11,34.75,-16.1666667,3,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
12,34.939562,-15.647316,3,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
13,34.700342,-15.450508,3,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
14,34.082977,-12.804172,3,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
15,33.7833333,-13.9833333,1,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
16,34.15,-12.566667,1,23277467.42,African Development Bank (AfDB),Ongoing,Loan,Agriculture
17,33.68407,-14.01962,3,500000.00,US Agency for International Development,Ongoing,Grant,Agriculture
18,33.425412,-9.927265,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
19,35.666667,-15.666667,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
20,35.150601,-16.105828,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
21,34.18559,-14.262731,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
22,33.68407,-14.019624,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
23,35.346577,-14.392955,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
24,33.805243,-10.802922,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
25,33.079984,-13.762298,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
26,34.75,-14.75,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
27,35.150601,-16.105828,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
28,35.6666667,-15.6666667,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
29,34.75,-14.75,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
30,34.082977,-12.804172,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
31,33.0799839,-13.762298,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
32,35.346577,-14.392955,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
33,33.68407,-14.019624,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
34,34.18559,-14.262731,3,11672510.00,US Agency for International Development,Closed,Grant,Agriculture
35,33.607776,-11.854277,3,890106.32,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
36,33.607776,-11.854277,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
37,33.881507,-10.111532,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
38,33.4166667,-13,3,890106.32,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
39,33.8,-10.8,5,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
40,33.607776,-11.854277,3,890106.32,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
41,33.607776,-11.854277,3,890106.32,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
42,33.68407,-14.01962,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
43,33.4166667,-13,3,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
44,34.05,-13.316667,2,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
45,34.1,-12.9,5,7000000.00,US Agency for International Development,Ongoing,Grant,Agriculture
46,33.881507,-10.111532,3,7963166.74,International Fund for Agricultural Development (IFAD),Ongoing,Loan,Agriculture
47,35.573667,-14.945831,3,7963166.74,International Fund for Agricultural Development (IFAD),Ongoing,Loan,Agriculture
48,35.059102,-15.048394,3,7963166.74,International Fund for Agricultural Development (IFAD),Ongoing,Loan,Agriculture
49,33.4166667,-13,3,4858277.12,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
50,33.607776,-11.854277,3,4858277.12,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
51,34.18559,-14.262731,3,100000.00,UNDP,Closed,Grant,Agriculture
52,33.805243,-10.802922,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
53,34.053218,-11.65304,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
54,34.401842,-13.719594,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
55,34.18559,-14.262731,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
56,35.346577,-14.392955,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
57,33.881507,-10.111532,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
58,35.1666667,-16.75,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
59,33.607776,-11.854277,3,100000.00,UNDP,Closed,Grant,Agriculture
60,34.082977,-12.804172,3,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
61,34.5,-12,5,384270.53,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
62,33.67338,-14.02156,1,1740928.66,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
63,33.4166667,-13,3,1740928.66,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
64,33.77725,-14.18031,1,1740928.66,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
65,33.4166667,-13,3,1740928.66,Flemish International Cooperation Agency (FICA),Closed,Grant,Agriculture
66,33.77725,-14.18031,1,891123.36,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
67,33.4166667,-13,3,891123.36,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
68,35.418291,-15.430074,3,100000.00,UNDP,Closed,Grant,Agriculture
69,33.67338,-14.02156,1,891123.36,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
70,33.4166667,-13,3,891123.36,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
71,33.67338,-14.02156,1,1267068.02,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
72,33.67338,-14.02156,1,1267068.02,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
73,33.4166667,-13,3,1267068.02,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
74,33.77725,-14.18031,1,1267068.02,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
75,33.4166667,-13,3,1267068.02,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
76,33.4166667,-13,3,964506.22,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
77,33.67338,-14.02156,1,964506.22,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
78,33.77725,-14.18031,1,964506.22,Flemish International Cooperation Agency (FICA),Ongoing,Grant,Agriculture
79,33.881507,-10.111532,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
80,33.805243,-10.802922,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
81,33.607776,-11.854277,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
82,33.4166667,-13,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
83,34.082977,-12.804172,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
84,33.0799839,-13.762298,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
85,33.907981,-13.295737,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
86,34.75,-14.75,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
87,33.68407,-14.019624,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
88,35.346577,-14.392955,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
89,35.0591,-15.04839,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
90,35.418291,-15.430074,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
91,35.4999,-15.9344,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
92,34.18559,-14.26273,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
93,35.16667,-16.75,3,12912097.67,Norwegian Agency for Development Cooperation (NORAD),Ongoing,Grant,Agriculture
