AMP Project ID,Latitude,Longitude,Precision,GeoNameID,Geoname,ADM1 ID,ADM1 Name,ADM2 ID,ADM2 Name,Donor,Recipient,Project Name,Status,Date of Agreement Signed,Date of Planned Completion,Comulative Commitment,Cumulative Disbursement,Type of Assistance,AMP Sector,MDGS1,AidData Sector,AidData Purpose Code,AidData Purpose Name,Has Feasibility Study?,Has Technical Assistance?,AidData Activity Codes,AidData Activity Names
872261149744,-14.03333,33.7,1,927979,Likuni,1888,Central Region,19310,Lilongwe,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-13.51667,33.71667,1,926087,Mponela,1888,Central Region,19308,Dowa,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-11.9,33.6,1,925498,Mzimba,1889,Northern Region,19318,Mzimba,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-15.06667,35.21667,1,927834,Liwonde,1890,Southern Region,42175,Machinga,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,,,8,927384,Republic of Malawi,,,,,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-15.38333,35.33333,1,923295,Zomba,1890,Southern Region,19330,Zomba,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-11.45,33.91667,1,925475,Mzuzu,1889,Northern Region,19318,Mzimba,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-14.46667,35.26667,1,927246,Mangochi,1890,Southern Region,19325,Mangochi,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-13.98333,33.78333,1,927967,Lilongwe,1888,Central Region,19310,Lilongwe,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
872261149744,-13.03333,33.48333,1,928534,Kasungu,1888,Central Region,19309,Kasungu,World Bank,Malawi,Second National Water Project,Ongoing,2007,2012,"50,000,000.00","42,107,750.09",Loan,"Water, Sanitation and Irrigation",Sustainable Economic Growth,,14020,Water supply and sanitation - large systems,0,1,14010.02|14010.03|14015.02|14020.01|14020.03|14020.04|14020.05|14020.06|14030.02|14050.02|14082.01,"Water sector policy, planning and programmes|Institution capacity building, Water|Inland surface waters|Water supply and sanitation - large systems, activity unspecified or does not fit elsewhere in group|Sewerage|Intakes, storage, pumping stations, conveyance and distribution systems|Domestic and industrial waste water treatment plants|Water supply assessments and studies|Water supply and sanitation, low-cost technologies|Municipal and industrial solid waste management|All water research activities"
